ownership_id,customer_id,car_vin
0,0,9MYYOKEAEA84HXXP
1,0,D1FPE60QRAQIK3OM
2,0,940VTKRRVWY3RZTP
3,0,JX6EWXQPF0QPSVY7
4,0,50OP7XMR8FHYDRGF
5,0,7RIU9MJYG4S3MEIU
6,0,211U645VDB828192
7,0,BDW56FKPS0DXME4P
8,0,4RKGJZOWI1T2EP76
9,0,P1ZSCMO1POB7FU99
10,0,P5Z5ZLM36VFOX5WW
11,0,15DTOZ5STHSLMWA6
12,0,I109DCNWMBXEK0Q9
13,0,Z7X4IKY3UFN0DSG2
14,0,Z3CC5RQNSVSOJRPP
15,0,FEZEZ5EHR07N8VOE
16,0,SEKNKBF2P7KKG0AT
17,0,RLQMN44EEW1YF0DW
18,0,IOT860X5ZU2ZUEUG
19,0,18S1SAXT8JH34UDT
20,0,B5APO4LJEDGFJDLO
21,0,8GZKDF6J76BIVISS
22,0,LTCBW6ATVD1XEUQ4
23,0,N92TP6QAQ3K8A7RV
24,0,4H4KFTCDZ3095HS2
25,1,9ZJXLH8L6E7VAAGU
26,1,T2XCB3YYM33MG1ZA
27,1,QHAK7MDWKZIRNK6Z
28,1,9WDJSGG0YVGV0E74
29,1,4A8YWY5APYX4L4OE
30,1,N15IKPQAHCUA09PC
31,1,LCWBPA274IR833SI
32,1,PDQE97N6Y2C2BVPD
33,1,KND1IVXAN25WM72Q
34,1,DAZV46ESMRWGEBEV
35,1,VTFQVK8SXFI3UBM9
36,1,MYZ9VLU8WPFQ2BHA
37,1,QHR133NO3AAMTFPW
38,1,HKHJG4IHGJD3EX5M
39,1,I3X79955CF72GNNV
40,1,1V4KFIWKESVR022W
41,1,1XSRQLNZZRJO7VBH
42,1,OL5U7NTEDQMVQWPQ
43,1,LNGIXMC4SX27DCBH
44,1,J014GVE4ZTJ1KM98
45,1,X985I0HIVTQ3MD4P
46,1,P4BF5L0RXMIP11YK
47,1,27F8LWVV59HOTGDU
48,1,GYG3VAH6NHKSQNAL
49,2,9EP0O6H5L3XFULHZ
50,2,AFCO3S65QU0K5QZZ
51,2,34OGWPNXZDZB5F5T
52,2,6O1EN1S2OFHBAWYQ
53,2,OAE7L0RCTI8F34GA
54,2,E0GYAJPGZ6TPBWSX
55,2,YPVBNHI6HABA3YC8
56,2,0BS3LWW7OPIDLAXA
57,2,C3XNCHKV9DT94G8V
58,2,LW5L4RMVVNXIV9IW
59,2,01WCNKFHB7V80LKX
60,2,XKA4LIT6XIYZVNLP
61,2,CGWFHDV37IC0LZIG
62,2,U8H5R8MNQPVPF8R1
63,2,VF0JQQNVCEQFGAS0
64,2,78NRXVOB7NUGPJ60
65,2,ZX70IB3WYZXJQYJV
66,2,EDZNZ9C65FPYST5V
67,2,DU23JH0ZAGRD1PPK
68,2,NZHG8Q3GCG1J6OWW
69,2,KNJMVRYDC1AU9DSA
70,2,7RMPN6937XNCMLDQ
71,2,AET81IQY5SXAW7LW
72,2,YIR02M77RXZDNVZ5
73,2,E2KYT5GQEXIH1XDP
74,3,7LNKZX8YX7WR2LIU
75,3,NZ0NXU43IEDD070E
76,3,8UACT49LNY2SVHOT
77,3,3KHYFK043BLSYJ4U
78,3,K8C3FZ47I07140K3
79,3,OPRMOC0K7ZTDL25B
80,3,XUPR6H2HXN4D24N9
81,3,D9GB9XV8WOBIRY8X
82,3,5XJXNECRYSAUUJ02
83,3,9ZKELZ5TOZO32TC4
84,3,86GVGT2EEHFU4B9S
85,3,P8AK8S2XQUZS9MTH
86,3,IGK38VHMEWCJN6OC
87,3,7FHWJWXZUXSF3L2N
88,3,JTYOLD62F2JD9I82
89,3,0L3RTZ5TV6G8OM08
90,3,5OVJYZXFUJ7XN1YP
91,3,92SJP753K48OLDC0
92,3,C0TR58PS0RS95ZOW
93,3,Z0I0835TVV8Y5SIC
94,3,8PNNE6IT1EKKH0UH
95,3,3BQWRMWLMA6GMDRD
96,4,ERFXIOKPG3DP4FMP
97,4,GBO06FHRXJPT2ZL1
98,4,E82EMAYB3PVARKCP
99,4,GKEJZXPR2D0VG4WF
100,4,B97PWDBOLWIMRSXK
101,4,7ZI6GAXLKKVPJRME
102,4,1EM30VVIJVDDWVB8
103,4,Z7CTM09HZBGTJ546
104,4,WEPRS82GJ8K8C9G3
105,4,8F1N2OJGFHZ52QZS
106,4,ZTGBIBF57J2XI3TA
107,4,L85JE6K9WAM0KJAX
108,4,8JWVHPLHW4OQ0PFR
109,4,G5GR0XAFGOVCCI68
110,4,E1ADNDA37E1J7V2A
111,4,4DF163LRITJTABTD
112,4,6APFXI5N53EGDD8M
113,4,M7DBFPMGP6YWK5JR
114,4,2592FFQ293EP0FLE
115,4,RR9VWE77NTTRTIDZ
116,4,ZIA9AU87CM453KF4
117,4,3CE8ZNA8NZXC45BN
118,4,A3O1QFS8Q0PXAECX
119,4,FOP8QZJULI7JDN80
120,379,HG0U43QLX3F2XHDC
121,146,IFDHA6GH7IDUB9RB
122,409,918SLOMEYL6SS1A2
123,248,KFQ5DZ53X1F8S0X7
124,28,MM4P61NHVCFWR2F5
125,190,DL7FKNDG1JRJ5XFE
126,168,NKOWYPSWLDOQ59B9
127,133,ZUFDNU4I5YMQT3DG
128,296,HLL9RZRKBFQXLBVN
129,42,HHA1PJGFJC5QPH6G
130,414,M1FMPRYFZMYOA2VC
131,94,FX3030A67RL2YJ09
132,484,XUB0GZ1VHHGY8NNK
133,325,ZXQOMTS1EGPGVTN4
134,342,Z76DD4DA7D0WTWS3
135,39,H1TE48M2Q6X2O72S
136,193,L66YA6BA24S0LGUP
137,49,WOB7P7O0OLFIZEEU
138,224,FLDAA1FWT9UA09W1
139,373,KTI221XJ7WWUDQVD
140,142,DRN4ORAC8CYNL63G
141,41,W4EMM9VASJEVTS1H
142,44,BEDYEJHDZXQ3P87J
143,294,8D2VFHZPQVJLDNHM
144,397,GBSVK3X8MBGL2MCX
145,475,ELALQ26UNVSDKV54
146,349,YP3HBRBJEQVVIAA2
147,180,K4O67BXCD20J1OUL
148,173,K9RX647DI3E950ID
149,224,975J2D8CLW3JGEQE
150,144,WYSIRRK1RD1ZM4IX
151,13,CRHYQNRM31SL7ZX4
152,296,7NQWHOCPY8UDQDDA
153,482,BXQJ7DPFSSBJDX0P
154,348,GJVSDBIDE6UITJ5Z
155,51,D05JH2MKV0DSZRK6
156,300,YFLQ8XPA95G1AMRA
157,374,BAYKIS11D2MRMTXJ
158,197,KMSX54RJSXFOH9MB
159,308,HD7NDJWT695G6MLV
160,113,BSMWPQ82K8RYQF8W
161,307,RCKQH3ERAM4BE52S
162,169,ZF0P7KB7IYNO667V
163,235,YLUYHETKDUWTN5PE
164,285,7ZQPPOAU8P1WKISE
165,259,B4EYQ1S4DJ9DV3UY
166,188,Y0BHF0RIY4KL9ARY
167,417,F5SIDASO7KRGI4JW
168,99,PWG3XG0TRKY8RYOZ
169,35,3FKEOUBXXQ6MF5QA
170,249,4SMZOCXMZMZ2K1KO
171,416,8VGZSXJZVUV3CB0I
172,5,7R1930I6G61PCWE4
173,420,V47LZN9UHJPKHF33
174,75,A8DBFA1U5MY80TGH
175,14,M642PW5UESDRBTA3
176,134,ZC58CU47SOCZDQ7J
177,91,PH5CH3L16CR3UV43
178,227,VWCT8JBBSXPK48AB
179,86,4Y0TB1ZPPEP69NGP
180,346,DAO13TB25ICCPKLV
181,12,VRECJTR0M6HZ72KX
182,41,ZSB6ZWKHE9I0HN3F
183,323,XQERBKN3DKVR5NBH
184,448,TXB1761M3J1HA0W5
185,338,T87K9TPZ1J8Q9I6K
186,259,91KUBJJJX1ALX44P
187,54,Q8R4HC7JVLCG1J5E
188,74,5XIXGSPLTI899A44
189,378,IDSECHU3YCPKAVM9
190,343,7KBNKFVDHLZ02Z7N
191,50,N9CC7ISUTP04SBRS
192,81,HU6L29IL9YQ8OCUC
193,162,I2I397I6YXV2MEOS
194,42,W165AEJT70EBPY9E
195,486,MOUZE66VW9B0MQOQ
196,108,Z00V3SFAVYQLG0K1
