rid,customer_id,car_vin,date,odometer,complain
0,319,LEUUCBL116CZ75T6,2020-07-05,22713,abs light is on
1,98,F51Z58B4JWPGZ5RK,2022-05-19,20084,rough idle at stoplights
2,2,NZHG8Q3GCG1J6OWW,2020-07-04,21361,suspension feels bouncy
3,444,72NS8ERKD0RNGCT2,2022-07-03,45040,engine is making a weird noise
4,89,O7PLR1X08K4L2LJZ,2022-05-20,14532,battery keeps dying overnight
5,0,Z7X4IKY3UFN0DSG2,2024-11-09,48265,windshield wipers not working
6,92,V5XWWC05SORHTMT1,2025-06-17,41771,ac is blowing warm air
7,346,DAO13TB25ICCPKLV,2023-01-05,46388,car pulls to the left when braking
8,87,3Q825Q30ZX815G5F,2025-11-27,27714,engine is making a weird noise
9,1,I3X79955CF72GNNV,2022-04-18,40411,car overheating in traffic
10,369,6CN8SIWMZAP4VKFT,2020-02-28,43386,grinding noise from rear wheels
11,48,XLE0BCT324ZBL5KZ,2022-10-25,24599,door lock is stuck
12,187,BHB7ZHEZR4E5IZB1,2020-07-03,45946,ac is blowing warm air
13,0,940VTKRRVWY3RZTP,2022-10-24,21048,battery keeps dying overnight
14,1,27F8LWVV59HOTGDU,2021-01-03,25287,car overheating in traffic
15,16,Z0KDN3TN60TLXOUN,2023-02-22,44117,fuel efficiency dropped a lot
16,237,1ZQUA1QRDLFWDUH7,2021-09-21,30458,check engine light came on
17,480,LM576M2YVP6MPB4D,2025-02-26,38837,car wont start in the morning
18,316,WBNWJ6PVOC7501OE,2024-02-05,33761,car pulls to the left when braking
19,2,YIR02M77RXZDNVZ5,2024-10-08,43651,radio cuts in and out
20,462,L4J4X0LY66G9ZNAX,2025-08-13,10242,rough idle at stoplights
21,31,1PW26RQH7O0ZBO70,2024-06-11,44078,trunk wont open
22,4,FOP8QZJULI7JDN80,2024-09-17,47391,transmission slipping between gears
23,54,Q8R4HC7JVLCG1J5E,2020-05-07,38138,radio cuts in and out
24,58,4XAIC0DHNHWEKQDV,2024-03-23,45955,trunk wont open
25,259,91KUBJJJX1ALX44P,2024-09-16,40097,clutch pedal feels loose
26,63,MCCYC3T13HLOZESJ,2021-02-08,23748,smoke coming from under hood
27,17,EJTUIN748AV3G609,2024-04-21,10163,power windows stopped working
28,68,RWDWF1TQV0R095UH,2024-03-01,15665,brakes feel spongy
29,456,LSOGWIBJB6M9NWYU,2025-08-12,45447,ac is blowing warm air
30,169,KBQNXPVMSR75RMG7,2023-10-24,33711,grinding noise from rear wheels
31,80,VR40DM9IF826BHYZ,2020-04-05,45963,tire pressure warning keeps coming back
32,362,Y6RKVNDXJN7DE0L1,2025-02-27,18750,radio cuts in and out
33,84,0MQA1CCYY4JUFN24,2021-05-02,41048,headlights are dim
34,417,F5SIDASO7KRGI4JW,2022-07-22,21223,car wont start in the morning
35,1,QHR133NO3AAMTFPW,2023-07-19,38076,clutch pedal feels loose
36,444,72NS8ERKD0RNGCT2,2020-08-15,39361,door lock is stuck
37,456,LSOGWIBJB6M9NWYU,2023-08-15,39270,trunk wont open
38,55,6XTF52BWHNYBJK8J,2024-09-19,39174,car wont start in the morning
39,462,L4J4X0LY66G9ZNAX,2025-11-19,48885,brakes feel spongy
40,161,EKT292MI560TOHXW,2025-03-10,23771,rough idle at stoplights
41,187,BHB7ZHEZR4E5IZB1,2023-08-05,14246,car wont start in the morning
42,439,MC8FU0AB76LBWLA9,2023-05-24,48078,car overheating in traffic
43,259,91KUBJJJX1ALX44P,2022-05-10,36541,rough idle at stoplights
44,183,07IRJG107R925DSI,2025-11-20,23458,engine is making a weird noise
45,46,B9V1T4JXA2YMPYI4,2024-06-20,41390,brakes feel spongy
46,380,ZJFY4W8TR98W07FI,2021-03-21,36158,transmission slipping between gears
47,13,D3IIA38K0HF36C0O,2020-12-27,31871,coolant warning light on
48,346,DAO13TB25ICCPKLV,2025-11-12,47163,windshield wipers not working
49,462,M2Q22YOKBVPX4NTZ,2020-04-18,18769,windshield wipers not working
50,431,QDE7M7H6OQ7QH96Y,2024-07-03,244968,power windows stopped working
51,160,89QSNVYF2ZQOYGWO,2021-04-30,233871,check engine light came on
52,318,BMQIMI8ACUEOBQT0,2025-05-24,62526,smell of burning rubber
53,486,ZV3IU6L5NFLTQ680,2021-08-12,150447,power windows stopped working
54,71,D0I2V4B2RCYBRXOD,2022-08-04,239216,oil leak under the car
55,267,FB2FLURMW3UQHWTE,2023-05-29,178369,fuel efficiency dropped a lot
56,318,BMQIMI8ACUEOBQT0,2023-07-19,68598,check engine light came on
57,243,5I67ZSOOUKIW8X17,2025-02-28,90957,rough idle at stoplights
58,59,5KKS1B4QSX88GXWD,2025-10-25,231034,suspension feels bouncy
59,178,JKS4I2NR1P02JYV6,2023-12-22,93688,trunk wont open
60,474,76IMG7ZD3Q0E03YI,2025-06-17,214811,headlights are dim
61,337,YPIGQX2456IZC0YO,2021-11-30,205787,clutch pedal feels loose
62,43,6N1RWU1ESEVGC0QT,2023-08-15,31253,exhaust is louder than usual
63,345,WV9NJS96ALGXZJ9M,2023-07-27,183610,headlights are dim
64,57,NIA2Y7VFHPD6VQ81,2021-06-04,98710,windshield wipers not working
65,285,7ZQPPOAU8P1WKISE,2022-06-30,166970,rough idle at stoplights
66,267,FB2FLURMW3UQHWTE,2020-07-02,74050,steering wheel shakes when braking
67,22,9K4CI248F3VKOG10,2020-11-08,32438,steering wheel shakes when braking
